Character,Category,Hash40,String,Specific (Done: 82.34%),General (Done: 57.75%),English (Done: 44.91%),Comments
Pikachu,Grabs,0x0a5f869486,catch_turn,pivot_grab,grab,Grab,
Pikachu,Grabs,0x05c56b7b64,catch,standing_grab,grab,Grab,
Pikachu,Grabs,0x0c0f9e0724,catch_attack,pummel,grab,Grab,
Pikachu,Grabs,0x097c7ceeb1,catch_cut,,grab_release,Grab Release,
Pikachu,Grabs,0x083ec83f4b,throw_lw,dthrow,throw,Down Throw,
Pikachu,Grabs,0x08a0abc72c,throw_hi,uthrow,throw,Up Throw,
Pikachu,Grabs,0x0749f709a8,throw_f,fthrow,throw,Forward Throw,
Pikachu,Grabs,0x074e9acdb1,throw_b,bthrow,throw,Back Throw,
Pikachu,Ledge,0x0b99d9746c,cliff_catch,ledge_grab,ledge,Ledge Grab,
Pikachu,Ledge,0x0a7c8b8f5e,cliff_wait,ledge_hang,ledge,Ledge Hang,
Pikachu,Ledge,0x127aee8c0f,cliff_attack_quick,ledge_attack,attack_getup,Attack Getup,
Pikachu,Ledge,0x11128e840f,,jump_getup_actionable,jump_getup,Jump Getup,
Pikachu,Ledge,0x118b87d5b5,,,jump_getup,Jump Getup,
Pikachu,Ledge,0x11c48e6de3,,,neutral_getup,Neutral Getup,
Pikachu,Ledge,0x1237aa75f7,,,roll_getup,Roll Getup,
Pikachu,Defensive,0x08b12770b1,escape_b,broll,roll,Roll,
Pikachu,Defensive,0x08b64ab4a8,escape_f,froll,roll,Roll,
Pikachu,Defensive,0x1060d3285b,escape_air_slide,dairdodge,airdodge,Airdodge,
Pikachu,Defensive,0x0ae47033ba,escape_air,nairdodge,airdodge,Airdodge,
Pikachu,Defensive,0x08da2dd4f9,guard_on,,shield,Shield,
Pikachu,Defensive,0x097ab1c684,guard_off,drop_shield,,Drop Shield,
Pikachu,Defensive,0x0c692cfb94,guard_damage,shield_lag,shield,Shield,
Pikachu,Defensive,0x0fefe225e5,just_shield_off,,parry,Parry,
Pikachu,Defensive,0x0625e8b08e,escape,,spotdodge,Spotdodge,
Pikachu,Disadvantage,0x0c8a426770,,wall_tech,tech,Wall Tech,
Pikachu,Disadvantage,0x0cc24d7e43,down_bound_u,,mistech,Mis-Tech,
Pikachu,Disadvantage,0x0ca8fd5eb1,,,mistech,Mis-Tech,
Pikachu,Disadvantage,0x0b95b751c9,,mistech_wait,mistech,Mis-Tech,Facing up
Pikachu,Disadvantage,0x0bff07713b,,mistech_wait,mistech,Mis-Tech,Facing down
Pikachu,Disadvantage,0x0bbe6bc6c8,,getup_away,getup_away,Getup Away,
Pikachu,Disadvantage,0x0bd4dbe63a,,getup_away,getup_away,Getup Away,
Pikachu,Disadvantage,0x0e61027990,,getup_in,getup_in,Getup In,
Pikachu,Disadvantage,0x0e0bb25962,,getup_in,getup_in,Getup In,
Pikachu,Disadvantage,0x0d6efe0514,down_attack_u,,getup_attack,Getup Attack,
Pikachu,Disadvantage,0x0d044e25e6,down_attack_d,,getup_attack,Getup Attack,
Pikachu,Disadvantage,0x0cff952a23,,getup_neutral,getup_neutral,Getup In Place,
Pikachu,Disadvantage,0x0c95250ad1,,getup_neutral,getup_neutral,Getup In Place,
Pikachu,Disadvantage,0x0ba547290c,fall_damage,,tumble,Tumble,
Pikachu,Disadvantage,0x11ca458285,damage_fly_meteor,spiked,hitstun,Spiked,
Pikachu,Disadvantage,0x0c105ff854,damage_air_2,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0c6758c8c2,damage_air_3,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0e08a589d4,damage_fly_top,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0dc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0cfb292648,damage_fly_n,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0c8956a9ee,damage_air_1,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0d56a98914,damage_fly_lw,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0a0146b52c,damage_n_3,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0b93ce4698,damage_hi_3,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0aef48d400,damage_n_1,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0fd4ac733b,damage_fly_roll,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0b0a145fb5,damage_lw_3,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0be4c9760e,damage_hi_2,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0a764185ba,damage_n_2,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0b7d136f23,damage_lw_2,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0b29add323,damage_elec,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0b7dc027b4,damage_hi_1,,hitstun,Hitstun,
Pikachu,Disadvantage,0x0be41a3e99,damage_lw_1,,hitstun,Hitstun,
Pikachu,Disadvantage,0x1646684dcb,jack_special_hi_pulled,,command_grabbed,,
Pikachu,Disadvantage,0x166f285bd6,jack_special_hi_thrown,,command_grabbed,,
Pikachu,Disadvantage,0x093adf54a2,thrown_lw,,thrown,Thrown,
Pikachu,Disadvantage,0x0885baf52e,thrown_f,,thrown,Thrown,
Pikachu,Disadvantage,0x0de74d3442,mewtwo_thrown,,thrown,Thrown,
Pikachu,Disadvantage,0x0d561376cb,clung_captain,clung_captain,command_grabbed,Falcon Up B'd,
Pikachu,Disadvantage,0x0dfa80f516,ridley_caught,ridley_caught,command_grabbed,,
Pikachu,Disadvantage,0x0ee1f364bc,ridley_dragged,ridley_dragged,command_grabbed,,
Pikachu,Disadvantage,0x10da84320f,ridley_dragged_f,ridley_dragged_f,command_grabbed,,
Pikachu,Disadvantage,0x140e41a719,ridley_dragged_cliff,ridley_dragged_cliff,command_grabbed,,
Pikachu,Items,0x13455c51bc,item_light_throw_f4,,item,Item Throw,
Pikachu,Items,0x16b7b89d4e,item_light_throw_air_f,,item,Item Throw,
Pikachu,Items,0x128c67b93f,item_light_throw_f,,item,Item Throw,
Pikachu,Items,0x0ea8d09abb,item_light_get,,item,,
Pikachu,Items,0x1706090a36,item_light_throw_air_b4,,item,Item Throw,
Pikachu,Items,0x13213094b8,item_light_throw_b4,,item,Item Throw,
Pikachu,Items,0x13ce05517b,item_light_throw_hi,,item,Item Throw,
Pikachu,Items,0x18edc0b667,item_light_throw_air_lw4,,item,Item Throw,
Pikachu,Items,0x1434afb6dd,item_light_throw_hi4,,item,Item Throw,
Pikachu,Items,0x176265cf32,item_light_throw_air_f4,,item,Item Throw,
Pikachu,Items,0x183e882164,item_light_throw_air_hi4,,item,Item Throw,
Pikachu,Items,0x16b0d55957,item_light_throw_air_b,,item,Item Throw,
Pikachu,Items,0x128b0a7d26,item_light_throw_b,,item,Item Throw,
Pikachu,Items,0x1592c030fa,item_light_throw_dash,,item,Item Throw,
Pikachu,Items,0x135066a91c,item_light_throw_lw,,item,Item Throw,
Pikachu,Misc,0x0ad467865a,,,dead,Dead,
Pikachu,Misc,0x0b2feea709,appeal_lw_r,dtaunt,taunt,Down Taunt,
Pikachu,Misc,0x0bd5e19a6a,appeal_lw_l,dtaunt,taunt,Down Taunt,
Pikachu,Misc,0x0b4c3b8347,appeal_hi_l,utaunt,taunt,Up Taunt,
Pikachu,Misc,0x0a7b46d599,appeal_s_l,ftaunt,taunt,Forward Taunt,
Bayonetta,Ground Attacks,0x99c52257e,attack_11,,jab,Jab,
Bayonetta,Aerial Attacks,0xc33f869bc,attack_air_b,abair,bair,Back Air,
Bayonetta,Aerial Attacks,0xc3495ada5,attack_air_f,afair,fair,Forward Air,
Bayonetta,Aerial Attacks,0xdbc5d7cc7,attack_air_f2,afair2,fair,Forward Air,
Bayonetta,Aerial Attacks,0xdcb5a4c51,attack_air_f3,afair3,fair,Forward Air,
Bayonetta,Aerial Attacks,0xdde67d935,attack_air_hi,auair,uair,Up Air,
Bayonetta,Aerial Attacks,0xd40042152,attack_air_lw,adair,dair,Down Air,
Bayonetta,Aerial Attacks,0xc3a4e2597,attack_air_n,,nair,Neutral Air,
Bayonetta,Aerial Attacks,0x11e988a7a3,attack_air_n_hold,,nair,Neutral Air,
Bayonetta,Ground Attacks,0xb6c751ced,attack_dash,,da,Dash Attack,
Bayonetta,Ground Attacks,0xacbfc42e6,attack_hi3,,utilt,Up Tilt,
Bayonetta,Ground Attacks,0xa5598d745,attack_hi4,,usmash,Up Smash,
Bayonetta,Ground Attacks,0xf5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Bayonetta,Ground Attacks,0xa86d04046,attack_lw4,,dsmash,Down Smash,
Bayonetta,Ground Attacks,0xfee188235,attack_lw4_hold,charge_dsmash,dsmash,Down Smash,
Bayonetta,Ground Attacks,0xb7dd72b57,attack_s3_s,fftilt,ftilt,Forward Tilt,
Bayonetta,Ground Attacks,0xcefa7ad71,attack_s3_s2,fftilt2,ftilt,Forward Tilt,
Bayonetta,Ground Attacks,0xc27ffd62e,attack_s4_hi,ufsmash,fsmash,Forward Smash,
Bayonetta,Ground Attacks,0xea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Bayonetta,Ground Attacks,0xcb99c2e49,attack_s4_lw,lfsmash,fsmash,Forward Smash,
Bayonetta,Ground Attacks,0xb78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Bayonetta,Grabs,0x5c56b7b64,catch,,,Grab,
Bayonetta,Ledge,0xb99d9746c,cliff_catch,,,,
Bayonetta,Ledge,0xa7c8b8f5e,cliff_wait,,,,
Bayonetta,Disadvantage,0xc8956a9ee,damage_air_1,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xc105ff854,damage_air_2,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xc6758c8c2,damage_air_3,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xdc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xd56a98914,damage_fly_lw,,hitstun,Hitstun,
Bayonetta,Disadvantage,0x11ca458285,damage_fly_meteor,spiked,hitstun,Spiked,
Bayonetta,Disadvantage,0xcfb292648,damage_fly_n,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xe08a589d4,damage_fly_top,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xb93ce4698,damage_hi_3,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xb7d136f23,damage_lw_2,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xb0a145fb5,damage_lw_3,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xa764185ba,damage_n_2,,hitstun,Hitstun,
Bayonetta,Disadvantage,0xa0146b52c,damage_n_3,,hitstun,Hitstun,
Bayonetta,,0x49b6edd00,dash,,,,
Bayonetta,,0xcc24d7e43,down_bound_u,,,,
Bayonetta,,0x625e8b08e,escape,,,,
Bayonetta,,0xae47033ba,escape_air,,,,
Bayonetta,,0x143618a558,escape_air_batwithin,,,,
Bayonetta,,0x1060d3285b,escape_air_slide,,,,
Bayonetta,,0x8b12770b1,escape_b,,,,
Bayonetta,,0x8b64ab4a8,escape_f,,,,
Bayonetta,,0x4fb50df0c,fall,,,,
Bayonetta,,0xb29e5172c,fall_aerial,,,,
Bayonetta,,0xba547290c,fall_damage,,,,
Bayonetta,,0xc692cfb94,guard_damage,,,,
Bayonetta,,0x97ab1c684,guard_off,,,,
Bayonetta,,0x8da2dd4f9,guard_on,,,,
Bayonetta,Movement,0xd0c1c4542,jump_aerial_b,,,,
Bayonetta,Movement,0xd0b71815b,jump_aerial_f,,,,
Bayonetta,Movement,0x62abde441,jump_b,,,,
Bayonetta,Movement,0x62dd02058,jump_f,,,,
Bayonetta,Movement,0xb38c9ab48,jump_f_mini,,,,
Bayonetta,Movement,0xad160bda8,jump_squat,,,,
Bayonetta,,0xfefe225e5,just_shield_off,,,,
Bayonetta,Aerial Attacks,0xe4e531eaa,landing_air_f3,lfair3,fair,Forward Air,
Bayonetta,Aerial Attacks,0xe5b6e8bce,landing_air_hi,luair,uair,Up Air,
Bayonetta,Aerial Attacks,0xec50d73a9,landing_air_lw,ldair,dair,Down Air,
Bayonetta,Aerial Attacks,0xd562c06c5,landing_air_n,lnair,nair,Neutral Air,
Bayonetta,,0x1447a7e8cc,landing_fall_special,,,,
Bayonetta,,0xdc81fdc09,landing_heavy,,,,
Bayonetta,,0xdd934faa1,landing_light,,,,
Bayonetta,Movement,0x7da900d48,ottotto,,teeter,Teeter,
Bayonetta,,0x4ce70d424,pass,,,,
Bayonetta,,0x776effdcf,passive,,,,
Bayonetta,,0x35076a4c0,run,,,,
Bayonetta,,0xbe0831584,run_brake_l,skid,skid,Skid,
Bayonetta,,0xb1a8c28e7,run_brake_r,skid,skid,Skid,
Bayonetta,Special Attacks,0xed8a31e01,special_air_hi,,upb,Up Special,
Bayonetta,Special Attacks,0xe46c0e666,special_air_lw,,downb,Down Special,
Bayonetta,Special Attacks,0x163fc92fae,special_air_n_charge_f,,,Neutral Special,
Bayonetta,Special Attacks,0x16d87102a9,special_air_n_charge_h,,,Neutral Special,
Bayonetta,Special Attacks,0x1334af1da2,special_air_n_end_f,,,Neutral Special,
Bayonetta,Special Attacks,0x13d31730a5,special_air_n_end_h,,,Neutral Special,
Bayonetta,Special Attacks,0x1428810d38,special_air_n_fire_f,,,Neutral Special,
Bayonetta,Special Attacks,0x14cf39203f,special_air_n_fire_h,,,Neutral Special,
Bayonetta,Special Attacks,0x1504451690,special_air_n_start_f,,,Neutral Special,
Bayonetta,Special Attacks,0x15e3fd3b97,special_air_n_start_h,,,Neutral Special,
Bayonetta,Special Attacks,0xf766d04a0,special_air_s_d,,sideb,Side Special,
Bayonetta,Special Attacks,0x170788e51c,special_air_s_d_landing,,sideb,Side Special,
Bayonetta,Special Attacks,0xf1cdd2452,special_air_s_u,,sideb,Side Special,
Bayonetta,Special Attacks,0x18100940d2,special_air_s_u_wall_end,,sideb,Side Special,
Bayonetta,Special Attacks,0xa28f17495,special_hi,,,Up Special,
Bayonetta,Special Attacks,0xab6928cf2,special_lw,,,Down Special,
Bayonetta,Special Attacks,0x12b2b77faf,special_n_charge_f,,,Neutral Special,
Bayonetta,Special Attacks,0x12550f52a8,special_n_charge_h,,,Neutral Special,
Bayonetta,Special Attacks,0xf3f369076,special_n_end_f,,,Neutral Special,
Bayonetta,Special Attacks,0xfd88ebd71,special_n_end_h,,,Neutral Special,
Bayonetta,Special Attacks,0x10a9348278,special_n_fire_f,,,Neutral Special,
Bayonetta,Special Attacks,0x104e8caf7f,special_n_fire_h,,,Neutral Special,
Bayonetta,Special Attacks,0x117218e28f,special_n_start_f,,,Neutral Special,
Bayonetta,Special Attacks,0x1195a0cf88,special_n_start_h,,,Neutral Special,
Bayonetta,Special Attacks,0x976c3b29b,special_s,,,Side Special,
Bayonetta,Special Attacks,0x12b6d89003,special_s_hold_end,,,Side Special,
Bayonetta,,0x5d267ef83,squat,,,,
Bayonetta,,0x8d58dc131,squat_rv,,,,
Bayonetta,,0xaa60712ea,squat_wait,,,,
Bayonetta,,0x885baf52e,thrown_f,,,,
Bayonetta,,0x420201547,turn,,,,
Bayonetta,,0x9e696ecad,turn_dash,,,,
Bayonetta,,0x8afd9b84f,turn_run,,,,
Bayonetta,,0x47dee83e5,wait,idle,idle,Idle,
Bayonetta,,0x694929aaf,wait_3,idle,idle,Idle,
Bayonetta,,0x60af60f0c,wait_4,idle,idle,Idle,
Bayonetta,,0x9fece0d5d,walk_fast,walk,walk,Walk,
Bayonetta,,0xb4fb275bd,walk_middle,walk,walk,Walk,
Bayonetta,,0x9eeaf3544,walk_slow,walk,walk,Walk,
Bayonetta,,0xbca3f3207,wall_damage,,,,
Banjo & Kazooie,Ground Attacks,0xa5ae1e07e,attack_100,,jab,Jab,
Banjo & Kazooie,Ground Attacks,0xea34e5703,attack_100_end,,jab,Jab,
Banjo & Kazooie,Ground Attacks,0x1003559f46,attack_100_start,,jab,Jab,
Banjo & Kazooie,Ground Attacks,0x99c52257e,attack_11,,jab,Jab,
Banjo & Kazooie,Ground Attacks,0x9055b74c4,attack_12,,jab,Jab,
Banjo & Kazooie,Aerial Attacks,0xc33f869bc,attack_air_b,abair,bair,Back Air,
Banjo & Kazooie,Aerial Attacks,0xc3495ada5,attack_air_f,afair,fair,Forward Air,
Banjo & Kazooie,Aerial Attacks,0xdde67d935,attack_air_hi,auair,uair,Up Air,
Banjo & Kazooie,Aerial Attacks,0xd40042152,attack_air_lw,adair,dair,Down Air,
Banjo & Kazooie,Aerial Attacks,0xc3a4e2597,attack_air_n,,nair,Neutral Air,
Banjo & Kazooie,Ground Attacks,0xb6c751ced,attack_dash,,da,Dash Attack,
Banjo & Kazooie,Ground Attacks,0xacbfc42e6,attack_hi3,,utilt,Up Tilt,
Banjo & Kazooie,Ground Attacks,0xa5598d745,attack_hi4,,usmash,Up Smash,
Banjo & Kazooie,Ground Attacks,0xf5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Banjo & Kazooie,Ground Attacks,0xa18b4d5e5,attack_lw3,,dtilt,Down Tilt,
Banjo & Kazooie,Ground Attacks,0xa86d04046,attack_lw4,,dsmash,Down Smash,
Banjo & Kazooie,Ground Attacks,0xfee188235,attack_lw4_hold,charge_dsmash,dsmash,Down Smash,
Banjo & Kazooie,Ground Attacks,0xcba28ee97,attack_s3_hi,uftilt,ftilt,Forward Tilt,
Banjo & Kazooie,Ground Attacks,0xc244b16f0,attack_s3_lw,dftilt,ftilt,Forward Tilt,
Banjo & Kazooie,Ground Attacks,0xea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Banjo & Kazooie,Ground Attacks,0xb78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Banjo & Kazooie,Grabs,0x5c56b7b64,catch,,,Grab,
Banjo & Kazooie,Grabs,0xc0f9e0724,catch_attack,,,Grab,
Banjo & Kazooie,Grabs,0xae4c85cc1,catch_dash,,,Grab,
Banjo & Kazooie,Grabs,0xaeaab5d22,catch_pull,,,Grab,
Banjo & Kazooie,Ledge,0x127aee8c0f,cliff_attack_quick,,,,
Banjo & Kazooie,Ledge,0xb99d9746c,cliff_catch,,,,
Banjo & Kazooie,Ledge,0xa7c8b8f5e,cliff_wait,,,,
Banjo & Kazooie,Disadvantage,0xc8956a9ee,damage_air_1,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xc105ff854,damage_air_2,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xc6758c8c2,damage_air_3,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xdc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xd56a98914,damage_fly_lw,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xcfb292648,damage_fly_n,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xfd4ac733b,damage_fly_roll,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xe08a589d4,damage_fly_top,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xb7dc027b4,damage_hi_1,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xbe4c9760e,damage_hi_2,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xb93ce4698,damage_hi_3,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xbe41a3e99,damage_lw_1,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xb7d136f23,damage_lw_2,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xb0a145fb5,damage_lw_3,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xaef48d400,damage_n_1,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xa764185ba,damage_n_2,,hitstun,Hitstun,
Banjo & Kazooie,Disadvantage,0xa0146b52c,damage_n_3,,hitstun,Hitstun,
Banjo & Kazooie,,0x49b6edd00,dash,,,,
Banjo & Kazooie,,0x625e8b08e,escape,,,,
Banjo & Kazooie,,0xae47033ba,escape_air,,,,
Banjo & Kazooie,,0x1060d3285b,escape_air_slide,,,,
Banjo & Kazooie,,0x8b12770b1,escape_b,,,,
Banjo & Kazooie,,0x8b64ab4a8,escape_f,,,,
Banjo & Kazooie,,0x4fb50df0c,fall,,,,
Banjo & Kazooie,,0xba547290c,fall_damage,,,,
Banjo & Kazooie,,0xc692cfb94,guard_damage,,,,
Banjo & Kazooie,,0x97ab1c684,guard_off,,,,
Banjo & Kazooie,,0x8da2dd4f9,guard_on,,,,
Banjo & Kazooie,,0x176265cf32,item_light_throw_air_f4,,item,Item Throw,
Banjo & Kazooie,,0x13455c51bc,item_light_throw_f4,,item,Item Throw,
Banjo & Kazooie,Movement,0xe7f6e164a,jump_aerial_f1,,,,
Banjo & Kazooie,Movement,0x62abde441,jump_b,,,,
Banjo & Kazooie,Movement,0xba358e95e,jump_b_mini,,,,
Banjo & Kazooie,Movement,0x62dd02058,jump_f,,,,
